from,to,total_amount_usd,transfer_count,from_first_funded_by,from_received_volume_usd,from_is_smart_contract,to_first_funded_by,to_received_volume_usd,to_is_smart_contract
0xeafa21cae32bc88241efad2797991a5341c93698,0xaf13b0a46489ec1159292483fa86ae8ce6eb737b,279.4842915,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,288.561795,FALSE,0xe6fa688c09e196a8f9d08911df84e3b5f350e507,279.7311353,FALSE
0xeb8c96e117c82b50b0b70f168f8c57cc8c57922a,0x96b8147c56c04900cf6aeacc45378364101c0cf8,284.0362337,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,284.5675442,,,284.0362337,
0xede12aa5f7b4762cda3861f20f592e493221c321,0x5ee954dad4754b3b33f54c22f531e7ce1bc1549e,52259.28447,4,0x4d04dc36fcd011964b819b7d0e76f7dfd2261996,137761.4915,FALSE,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,110420.9968,FALSE
0xedf36597189ce434e73bfe6acabbe236ca9ca471,0x50260dadfe2c6af39b3028353fc0956f27cb8071,2824.536391,1,0x08c5a0d48889af41a656e37795b81960c98cd043,4076.570959,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,30204.20683,
0xeec43c2cd74026cfc8ec89bfa2d44b2853ef53e5,0x73219572ff2c9b9d0b6c9f7c70e13872307415a5,6863.469445,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,7012.232172,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,7047.136978,FALSE
0xef08d035c9c747ec9cd5e67eae68862883c9b269,0x5020ec6a44c422613c74d296b715285586bd73fe,3737.675657,10,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,3375.211086,,0xf90dc7bc10b8289d40e64eb9f4fde028f0c990b2,3364.630106,FALSE
0xef0aaee91fad442444cf1dc40e92724a5a09c207,0xcc9a33fbdf8c1167fcfcd1edfaa816fc56e7d425,500.5350417,1,0x92d47b6e3dce6471f42021db650a611af4257771,1279.487114,,0xa6ef520a548350fcf9547d4712f6633142c5698c,3221934.031,FALSE
0xefb5c785308912a85a66ee713268672dbf5cee57,0xcbd70b3f2fdc9525c821d7bc82a3bb64f1430431,6865.867587,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,10065.63825,,0x24111d6305cebad9d6d1fc3316279f649df4fb87,8773.19729,
0xefb5c785308912a85a66ee713268672dbf5cee57,0x93788ce6788bd603bcab0d0ebf65a11797738710,1905.79556,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,10065.63825,,0x6b8d0ac5602e7d547962103e2c476f973ebc79dc,1907.635482,
0xefb5c785308912a85a66ee713268672dbf5cee57,0x62b1f7b2e90a480ee34012a51b36773dc0c3cd39,1088.213438,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,10065.63825,,0xc4b99f4a51e8ccc10206dc7ec0945570265714cd,7459.372504,
0xefc5508cd9b8c4c97d2c0d187bac9289a36c3fdd,0x0493ddc5ea9d65363d3729630f413c6fd099b852,16322.63427,18,0x3f8ed4f19cf51f958d66e0cb723f49a08f0595c7,84383.20866,FALSE,0x68773d6a36c5218cb756fb23e329b275ccbcc1b2,142707.0251,FALSE
0xefd3a149dd2f96c1eba8c1bccb817702a76bdf39,0x0493ddc5ea9d65363d3729630f413c6fd099b852,72044.47915,6,0x505e71695e9bc45943c58adec1650577bca68fd9,99436.49783,,0x68773d6a36c5218cb756fb23e329b275ccbcc1b2,142707.0251,FALSE
0xf0e4598ec6b4cc888d42d00241161f99373165e4,0x7c4e46b9bb61a9b0d8cdf4b17045c4ac599e3e22,432.5592449,14,,433.5517,TRUE,0xb4be28b8a8554715b88b929e6e35ff0010e677f6,2405.868096,FALSE
0xf3e358a58989a0be2adde04df1af2ed5348950a2,0x6fd76ec33a86e47771d982599d4c007223e171aa,98.1869595,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,102.57999,FALSE,0xe6fa688c09e196a8f9d08911df84e3b5f350e507,98.36065175,FALSE
0xf445d539f578bf4c2023e3706450be4d7a611fab,0xfe0e331476f93df825222b379e83d3c58c9e4e04,9751.257365,8,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,11361.45279,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,19058.44791,
0xf4b6394ada78b67bebe0f44f6770cbe36c17445a,0xef524db9f1ec3871b0c9ff6c990186a8c2e3c4f4,1704.929687,7,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,8249.36787,,0x5f96d886b374282942db914d511cff22b762b4c8,1953.56261,
0xf53c95da62f58ff133ef616ce5342dc9dd32ca77,0xc94e5d3df8a66ead681b468b98b9134a0df7ce86,7869.504098,4,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,25254.29052,FALSE,,7869.528089,
0xf5bae3a3f34afdbec984b5f06435ddd5d2ef7aa1,0xefbf71dff4581022bf3c2e87ff6a170251c7f01a,1141.906217,2,0x81d389a0f884e2a75a787c713b88423ed2a0b183,10709.55191,,0xa1ce37506eadf62d2be3741c644aa52a009d3a8b,22404.54606,FALSE
0xf60e2ab5919619de829bb43e3fbee2959b91baed,0x14de06a1ab533701ff780f56c7fc2409f25ceca3,7451.172303,8,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,9386.513693,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,8146.831423,
0xf6c421207d27c93d77a616f3b0fce375d1747c9e,0x34a34a4b279c09c21f13ec0c16784fb26a47e6bf,11315.11496,4,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,60216.15947,FALSE,0x963dede5ae62e9ab8363cda2a668c7e153139b96,43002.38631,FALSE
0xf70ee905aff0d560dbb4102d6f5d6df1c13d21f2,0x99174bdfc3db724024e23767594047004808dee7,75.13816309,3,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,190.6741434,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,79.7788102,
0xf72919be0d6f58a909c92c428608accae476807f,0x73ea814e5b904a5094da2807eb2abc5a3d39ceea,60172.1071,1,0x336577306bc469716b5df21ed8c6979a62f892b3,60241.00367,,0xbe092ec884b627006dac8ec8c34886dc807f670f,1188077.124,
0xf7393fb8ac9d79d8894df4b7bda81ddb51595ac8,0xa03187b7d9032a9eaf4a5af4911fb56577f4f678,10243.57689,17,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,47662.60542,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,10748.10174,
0xf7393fb8ac9d79d8894df4b7bda81ddb51595ac8,0x3441996cc9e571d92d23a1cf46a91ecf97f81b24,9407.682574,4,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,47662.60542,,0x3d90f66b534dd8482b181e24655a9e8265316be9,16070.65918,
0xf7393fb8ac9d79d8894df4b7bda81ddb51595ac8,0x281459ec7f49edfd7ba9b080766a243393ebed57,8721.155683,6,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,47662.60542,,0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,10295.83594,
0xf8107d8dd14d0357080e9499c5f69b5b2f964740,0x1a2043e8734c9cbeaf2cd6514555c3c07016ff88,1061.327636,2,,1061.364239,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,3823.108247,
0xf88250482745223837f0d3459c6b7321df4e2808,0x612f4e8e2b6680db12830c34d0b8875f43bad781,1468.864515,2,,1500.49725,,0x1b4adb66dcd62898a6156f449fc98665d70e8dfa,1591.51309,
0xf9278a9cb9b0f9c8359e90b4bdcf530ea3846f2e,0xd6ba032200ec21a7d820210ee2a0dc2f8b4d0d6b,99.21856385,1,0x2e3c1543963e512bb2f1ffb04d8aab874338fc64,528.3573891,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,1536.403222,FALSE
0xfa1f4aec645ccb43f197dbaf83f2eda52e380340,0x8daee015fe6241c94415866973b9cfdad6bb7784,39.90397816,2,0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,1.039822,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,461.8218707,FALSE
0xfa5ab3c65d8372835e82bed51faef6e48e3be2a5,0xfee6e58218cec27d7c8fe298e1514ed77635afbb,11250.9885,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,46875.35721,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,11251.17518,
0xfa60b19f9f9e77ca538086c3a38180f2150c1ab7,0xc69271be7b7a13b9fc996f85a8078801ba322b51,1030.873571,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,1342.849919,,0x99aa6dcdea536f56c291ef794aa0b18594eb2f25,1332.649967,
0xfab20be0911881f4e18d58127fdc7e515728a934,0x57cb42736a01a36137a96ab1efc492112d20ef56,173488.3499,5,0x6b3822fe5552f99439fa404d116299bad1356c64,1286062.975,FALSE,0x5234bf39903b2c64718e4a6e98b516e636a89f83,1305750.96,FALSE
0xfb053a0b9271b41db47529b10e4ab8a4f07e3572,0xaa868fa6b79855410c396799dc4c6ea004e8e709,1029.106502,1,,1050.388763,,0x1b4adb66dcd62898a6156f449fc98665d70e8dfa,2063.247972,
0xfc6880d20054e986909a4999bfa47ab600dde401,0xb05f8177b845e58127aea91f8078592bdae35647,106.5046776,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,111.2891376,FALSE,0xe6fa688c09e196a8f9d08911df84e3b5f350e507,106.7386294,FALSE
0xfd07cf2260351e0957df7905009783c7eb62b5ca,0x453af700fb420e590cae2c3c832ac060109697a6,9403.974122,6,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,9594.737231,,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,9403.757378,
0xfd99a38ee439bcf28828ee50f993ebce47310b69,0x14c12bc46226503f4d9f11430fc436363da79e27,163.8195187,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,408.7867684,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,4436.379541,FALSE
0xffd74249f424698b4360ffefe8caf9b9dcc00f7e,0xdec04a54d12a5c0d2d1ebdefa780e4813eb7c0b9,7079.051885,6,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,10215.0016,FALSE,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,83611.96094,FALSE
