to,contract_address,total_amount,transfer_count,token,count,to_funded_by?,to_inflow
0xeb81d2bffa5879857d935f5cae76153230cf0cc9,0x2e35da702f7e343ac08cdce82b904e4ef525ae80,469240.2,45,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x4c02d4f536f7a8325ec19c2d1ee671926e09951e,0x2e35da702f7e343ac08cdce82b904e4ef525ae80,316332.96,45,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xd9705d8b32a4e89c564e49d59b3b4cc648171050,0x2c77b0f2c5dd9896d77190fc96e08b597f0ddaf4,485418,41,,4,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xb21fc85c23fb34b081eb9920af1066b9df329057,0x5494a8ff00aff907fbec91eede1906e1cc1f47e3,209727.519,39,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xbc39e9725436dddc2a1d340d155a5311390045eb,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,102002,36,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xd2dd590184a78f81a871aad6baebc890a12245eb,0x2c77b0f2c5dd9896d77190fc96e08b597f0ddaf4,105000,35,,3,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x3ef278269eb20cd12ea6003196ebbb61f0ee1881,0x2c77b0f2c5dd9896d77190fc96e08b597f0ddaf4,131840.77,33,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xb21fc85c23fb34b081eb9920af1066b9df329057,0x6cc9065d621e9aaa0985d79e8e28d9d4e15b1225,115965.228,33,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xa97ac334459f816ac4869c31bcb2bc77afe5597a,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,342494.35,30,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xb269dd7effc8be249ed3c329902d7bf884329057,0xc83a700a5f85e8abd9fc3e93f22198e0fe745252,143516.076,30,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x4444ee627a9296fb765afc9965e37b78b1579cc5,0x3e5a9e00c764e627b72e436e36d7832ec7402785,8400,28,,11,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x0c59667332ce60ef6ce3f9be9e33b25ecd9c6e06,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,117.71,27,USDC,2,0xbb70d91df37ec5fdf588f97febc5c181251a3da3,5080.525567
0xd19f55c41538640891016562ba72d0ca2310028c,0x5609f9fab1823f15aade48e6f91c37c4f89eb8e0,33800,26,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x93394f8a0b02f8b712d402570925f8df881fdd4a,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,19980.46,24,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xdcc3c3198d8e3e3c9159df885078746996b05d89,0x5494a8ff00aff907fbec91eede1906e1cc1f47e3,15852,24,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x4c5602a18282717da789be21e32448ab9409951e,0x6078d52c4f0b3ee3546a1e3fba76986726b50a79,263158.64,23,,6,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x37f81ba05fea2a1c3ee8674711432616c968e3c2,0x2e35da702f7e343ac08cdce82b904e4ef525ae80,54812.59,22,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xdc109de7865d6d10873047b67fedfccf8fb05d89,0x520321ad2eeb7f6f8da74f2b19679e439ff2587e,22210,22,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x5150c94d59570935b2290d7d4a3bfc95a2577e6c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,10535.1,22,USDC,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x68b993f5b7384a96b0cb6c792c04aeb42f15483b,0x2e35da702f7e343ac08cdce82b904e4ef525ae80,87887.03,21,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x3a154a0500cfd88b9fdc203c1cb26ebb1fe5597a,0x55d398326f99059ff775485246999027b3197955,248206.53,20,USDT,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x61cc00165abb16a5314b95782fe26068dfa18eae,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,44302,20,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x17431c84fd2b8ddd2a1960a8434ce4eb7ec70483,0x2c77b0f2c5dd9896d77190fc96e08b597f0ddaf4,38119.4,20,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x68104fddb1673da64be6e8a92cf2106139bf6ca9,0x1816d55fd57c39e60a59a88072ce6757abdc468f,273.25,20,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x8d39bbc51e23ee186c9c8d65f66c2da1bf3592f8,0xa5a47b807de33fb5c647069742e18f4c149f6c93,51390,19,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xdccac66a91202e891d1dc545621ba6de82b05d89,0xc83a700a5f85e8abd9fc3e93f22198e0fe745252,18908.821,19,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x68845712e1ed472e21f09c1cc1cf4175b3cd6ca9,0xb535945ec30d4a4beff45a97ba78762ccf231d13,247,19,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x28a5a98c4b8310db00d81f027d87f13ffe838bed,0x5609f9fab1823f15aade48e6f91c37c4f89eb8e0,180000,18,,6,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x8524e34f0fdc24871ea920205335b1e776e776f2,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,42316,18,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xd19f1c0aad558976c333baf655d24ecc1431028c,0x5cebf3fe31bb3616575a98839aacb69e3f6463f7,23400,18,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x8d39be5c6a147062fa79071e50f73e6f8c1b92f8,0x55d398326f99059ff775485246999027b3197955,22915,17,USDT,1,0x2e3c1543963e512bb2f1ffb04d8aab874338fc64,27010.79373
0x2275de335eef61faa21a5e6af18301c395333ab0,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,15002,17,,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x85ff7014de8bb5d75dd17eb422d279e0c3c1db53,0xb535945ec30d4a4beff45a97ba78762ccf231d13,13456.52,17,,5,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xee1f10a8f681d1a966d50d588bea12aac9170147,0x2e35da702f7e343ac08cdce82b904e4ef525ae80,7003,17,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x3ef2c589b5b0cff3d3db58b0f9aa82b570161881,0x2e35da702f7e343ac08cdce82b904e4ef525ae80,42653.92,16,,1,0xa7a55f1d16850b7b193ba2b3c1fde5d5936be008,0.374229025
